AreaCode,Year,OwnerPct,RentalPct,SubsidizedPct
091306,2016,27.1,70.7,0.0
091306,2017,26.4,70.8,0.0
091306,2018,27.5,71.2,0.0
091306,2019,28.1,70.4,0.0
091306,2020,29.3,69.7,0.0
091306,2021,28.4,69.8,0.0
091306,2022,28.8,69.5,0.0
091306,2023,29.6,67.8,0.0
091306,2024,28.0,62.1,0.0
091203,2015,41.0,50.4,1.0
091203,2016,41.0,50.2,1.0
091203,2017,40.8,51.2,1.0
091203,2018,40.4,51.6,1.0
091203,2019,40.5,51.8,1.0
091203,2020,41.4,51.7,1.0
091203,2021,40.9,51.7,1.0
091203,2022,40.2,51.8,1.0
091203,2023,40.0,51.8,1.0
091203,2024,40.0,51.1,1.0
091291,2015,39.5,50.9,0.8
091291,2016,38.7,51.2,0.8
091291,2017,38.8,52.1,0.8
091291,2018,38.5,52.3,0.8
091291,2019,39.1,52.1,0.8
091291,2020,40.2,52.2,0.8
091291,2021,40.0,52.1,0.8
091291,2022,39.4,52.4,0.8
091291,2023,38.9,53.0,0.8
091291,2024,39.1,52.2,0.8
091292,2015,50.5,38.7,0.0
091292,2016,50.5,37.4,0.0
091292,2017,50.3,40.9,0.0
091292,2018,50.2,41.6,0.0
091292,2019,50.9,41.8,0.0
091292,2020,51.7,42.0,0.0
091292,2021,51.0,43.7,0.0
091292,2022,49.6,29.9,0.0
091292,2023,49.1,29.7,0.0
091292,2024,49.7,41.0,0.0
091293,2015,39.0,52.9,1.9
091293,2016,39.2,53.6,1.9
091293,2017,38.7,54.3,1.9
091293,2018,38.1,54.6,1.9
091293,2019,37.8,55.2,1.9
091293,2020,38.3,55.0,1.9
091293,2021,37.6,55.2,1.9
091293,2022,37.0,55.7,1.9
091293,2023,36.8,55.3,1.9
091293,2024,37.1,52.9,1.9
091294,2015,47.2,46.7,0.0
091294,2016,49.2,43.1,0.0
091294,2017,48.8,44.7,0.0
091294,2018,48.3,45.3,0.0
091294,2019,47.9,45.8,0.0
091294,2020,49.5,45.5,0.0
091294,2021,48.1,45.3,0.0
091294,2022,47.0,46.8,0.0
091294,2023,47.7,45.7,0.0
091294,2024,47.0,46.3,0.0
091204,2015,39.0,51.0,3.6
091204,2016,39.2,50.9,3.6
091204,2017,39.0,51.0,3.5
091204,2018,39.1,51.0,3.5
091204,2019,39.1,50.7,3.9
091204,2020,40.7,49.9,3.9
091204,2021,39.8,50.1,3.8
091204,2022,39.2,50.3,3.7
091204,2023,39.7,50.6,3.7
091204,2024,39.4,50.2,3.7
091320,2015,49.2,41.0,2.7
091320,2016,49.6,39.8,2.7
091320,2017,48.6,41.0,2.6
091320,2018,49.0,40.0,2.6
091320,2019,49.1,40.2,2.6
091320,2020,51.3,40.2,2.6
091320,2021,50.0,40.6,2.5
091320,2022,49.6,40.5,2.5
091320,2023,50.2,41.4,2.5
091320,2024,49.8,41.0,2.5
091461,2015,53.1,39.2,0.0
091461,2016,52.7,40.0,0.0
091461,2017,52.3,38.8,0.0
091461,2018,51.2,41.7,0.0
091461,2019,50.7,42.7,0.0
091461,2020,52.9,42.3,0.0
091461,2021,50.7,42.5,0.0
091461,2022,50.7,42.7,0.0
091461,2023,51.0,42.8,0.0
091461,2024,50.8,41.7,0.0
091462,2015,12.8,81.0,4.0
091462,2016,13.6,80.8,4.0
091462,2017,13.2,80.6,4.0
091462,2018,13.7,80.0,4.0
091462,2019,14.0,80.4,4.1
091462,2020,13.2,80.9,4.0
091462,2021,13.4,80.9,4.0
091462,2022,13.1,80.5,4.1
091462,2023,13.6,79.8,4.0
091462,2024,14.9,80.2,4.0
091463,2015,31.7,60.7,1.7
091463,2016,31.9,60.8,1.7
091463,2017,31.7,61.2,1.7
091463,2018,31.6,61.7,1.7
091463,2019,31.7,61.5,1.6
091463,2020,32.6,59.6,1.7
091463,2021,32.4,59.2,1.6
091463,2022,31.5,58.7,1.6
091463,2023,32.3,59.0,1.6
091463,2024,31.9,58.3,1.6
091464,2015,77.4,4.9,0.0
091464,2016,67.7,5.4,0.0
091464,2017,66.8,5.9,0.0
091464,2018,63.3,5.9,0.0
091464,2019,67.2,7.3,0.0
091464,2020,71.9,6.6,0.0
091464,2021,71.1,6.6,0.0
091464,2022,71.9,7.8,0.0
091464,2023,75.0,7.7,0.0
091464,2024,75.3,7.2,0.0
091465,2015,27.0,57.7,10.2
091465,2016,27.8,58.8,9.8
091465,2017,28.6,57.8,9.7
091465,2018,28.9,57.9,9.7
091465,2019,29.6,54.8,11.9
091465,2020,31.4,53.0,11.4
091465,2021,30.8,53.9,10.9
091465,2022,30.3,55.2,10.5
091465,2023,30.5,54.7,10.6
091465,2024,29.9,54.8,10.5
091205,2015,41.8,52.3,0.8
091205,2016,40.5,52.8,0.8
091205,2017,40.3,52.3,1.6
091205,2018,40.2,51.7,2.3
091205,2019,39.8,51.8,3.2
091205,2020,40.6,51.1,3.5
091205,2021,40.5,50.6,3.5
091205,2022,40.1,50.7,3.6
091205,2023,39.8,50.3,3.5
091205,2024,40.0,51.1,3.8
091331,2015,38.2,56.1,0.3
091331,2016,37.8,56.6,0.3
091331,2017,37.6,56.4,0.3
091331,2018,37.5,56.4,0.3
091331,2019,37.4,57.2,0.3
091331,2020,38.2,56.9,0.3
091331,2021,37.7,57.2,0.3
091331,2022,36.2,57.1,0.6
091331,2023,36.2,56.5,0.6
091331,2024,36.4,57.4,0.6
091332,2015,74.3,13.6,3.5
091332,2016,72.2,12.9,3.4
091332,2017,73.1,12.9,3.4
091332,2018,72.0,12.9,3.4
091332,2019,73.6,12.9,3.4
091332,2020,77.5,12.3,3.4
091332,2021,78.8,5.4,3.5
091332,2022,84.0,5.2,3.6
091332,2023,79.1,10.3,3.4
091332,2024,75.8,14.6,3.2
091333,2015,33.3,62.4,1.4
091333,2016,32.2,63.2,1.3
091333,2017,32.3,63.2,1.3
091333,2018,32.2,60.4,3.8
091333,2019,32.8,60.2,3.8
091333,2020,33.9,59.3,3.8
091333,2021,33.3,59.5,3.8
091333,2022,32.7,59.6,3.8
091333,2023,31.5,58.5,3.7
091333,2024,32.5,60.6,3.8
091334,2015,65.2,26.5,0.0
091334,2016,63.7,25.4,0.0
091334,2017,64.7,25.1,0.0
091334,2018,64.5,25.0,0.0
091334,2019,65.4,25.1,0.0
091334,2020,70.0,23.9,0.0
091334,2021,70.1,23.6,0.0
091334,2022,70.3,23.7,0.0
091334,2023,69.9,24.3,0.0
091334,2024,70.7,24.1,0.0
091335,2015,60.0,35.6,0.0
091335,2016,20.3,52.5,0.0
091335,2017,26.3,44.5,17.9
091335,2018,32.3,52.7,10.3
091335,2019,26.1,49.7,19.0
091335,2020,23.8,50.0,18.9
091335,2021,25.3,49.6,17.1
091335,2022,27.4,50.0,16.3
091335,2023,28.8,49.9,15.5
091335,2024,27.7,48.6,16.7
091336,2015,,,
091336,2016,4.9,88.5,0.0
091336,2017,9.6,50.0,32.6
091336,2018,19.4,47.8,31.2
091336,2019,30.0,41.0,26.7
091336,2020,38.4,32.9,22.7
091336,2021,48.4,24.1,18.1
091336,2022,52.8,21.3,16.5
091336,2023,58.5,21.8,15.0
091336,2024,61.7,20.8,14.5
0913,2015,36.6,54.0,1.1
