Quarter,Postal code,Building type,Price per square meter (EUR/m2),"Number of sales, asset transfer tax data starting from 2020",PostalCode,Year,Population,AverageIncome
2015Q1,00430  Maununneva - Kuninkaantammi (Helsinki),Terraced houses total,3542.0,9.0,00430,2015,4884.0,30592.0
2015Q1,00440  Lassila (Helsinki),"Blocks of flats, one-room flat",4557.0,8.0,00440,2015,4513.0,23807.0
2015Q1,00440  Lassila (Helsinki),"Blocks of flats, two-room flat",3314.0,6.0,00440,2015,4513.0,23807.0
2015Q1,00440  Lassila (Helsinki),"Blocks of flats, three-room flat+",3152.0,7.0,00440,2015,4513.0,23807.0
2015Q1,00440  Lassila (Helsinki),Terraced houses total,,,00440,2015,4513.0,23807.0
2015Q1,00500  S�rn�inen - Harju (Helsinki),"Blocks of flats, one-room flat",5595.0,95.0,00500,2015,12618.0,22521.0
2015Q1,00500  S�rn�inen - Harju (Helsinki),"Blocks of flats, two-room flat",4637.0,33.0,00500,2015,12618.0,22521.0
2015Q1,00500  S�rn�inen - Harju (Helsinki),"Blocks of flats, three-room flat+",4751.0,8.0,00500,2015,12618.0,22521.0
2015Q1,00500  S�rn�inen - Harju (Helsinki),Terraced houses total,,,00500,2015,12618.0,22521.0
2015Q1,00510  Alppila - Vallila (Helsinki),"Blocks of flats, one-room flat",5518.0,46.0,00510,2015,8978.0,22912.0
2015Q1,00510  Alppila - Vallila (Helsinki),"Blocks of flats, two-room flat",4575.0,31.0,00510,2015,8978.0,22912.0
2015Q1,00510  Alppila - Vallila (Helsinki),"Blocks of flats, three-room flat+",4462.0,10.0,00510,2015,8978.0,22912.0
2015Q1,00510  Alppila - Vallila (Helsinki),Terraced houses total,,,00510,2015,8978.0,22912.0
2015Q1,00520  It�- ja Keski-Pasila (Helsinki),"Blocks of flats, one-room flat",5501.0,10.0,00520,2015,6948.0,23067.0
2015Q1,00520  It�- ja Keski-Pasila (Helsinki),"Blocks of flats, two-room flat",4077.0,25.0,00520,2015,6948.0,23067.0
2015Q1,00520  It�- ja Keski-Pasila (Helsinki),"Blocks of flats, three-room flat+",4392.0,18.0,00520,2015,6948.0,23067.0
2015Q1,00520  It�- ja Keski-Pasila (Helsinki),Terraced houses total,,,00520,2015,6948.0,23067.0
2015Q1,00530  Kallio (Helsinki),"Blocks of flats, one-room flat",5471.0,68.0,00530,2015,18663.0,24258.0
2015Q1,00530  Kallio (Helsinki),"Blocks of flats, two-room flat",4988.0,50.0,00530,2015,18663.0,24258.0
2015Q1,00530  Kallio (Helsinki),"Blocks of flats, three-room flat+",5084.0,12.0,00530,2015,18663.0,24258.0
2015Q1,00530  Kallio (Helsinki),Terraced houses total,,,00530,2015,18663.0,24258.0
2015Q1,00540  Kalasatama - Sompasaari (Helsinki),"Blocks of flats, one-room flat",,,00540,2015,2132.0,27494.0
2015Q1,00540  Kalasatama - Sompasaari (Helsinki),"Blocks of flats, two-room flat",,1.0,00540,2015,2132.0,27494.0
2015Q1,00540  Kalasatama - Sompasaari (Helsinki),"Blocks of flats, three-room flat+",5598.0,16.0,00540,2015,2132.0,27494.0
2015Q1,00540  Kalasatama - Sompasaari (Helsinki),Terraced houses total,,,00540,2015,2132.0,27494.0
2015Q1,00550  Vallila - Hermanni (Helsinki),"Blocks of flats, one-room flat",5594.0,28.0,00550,2015,9021.0,21756.0
2015Q1,00550  Vallila - Hermanni (Helsinki),"Blocks of flats, two-room flat",4487.0,21.0,00550,2015,9021.0,21756.0
2015Q1,00550  Vallila - Hermanni (Helsinki),"Blocks of flats, three-room flat+",,5.0,00550,2015,9021.0,21756.0
2015Q1,00550  Vallila - Hermanni (Helsinki),Terraced houses total,,,00550,2015,9021.0,21756.0
2015Q1,00560  Toukola - Kumpula - Vanhakaupunki (Helsinki),"Blocks of flats, one-room flat",5954.0,10.0,00560,2015,13499.0,27364.0
2015Q1,00560  Toukola - Kumpula - Vanhakaupunki (Helsinki),"Blocks of flats, two-room flat",4956.0,25.0,00560,2015,13499.0,27364.0
2015Q1,00560  Toukola - Kumpula - Vanhakaupunki (Helsinki),"Blocks of flats, three-room flat+",4681.0,19.0,00560,2015,13499.0,27364.0
2015Q1,00560  Toukola - Kumpula - Vanhakaupunki (Helsinki),Terraced houses total,,1.0,00560,2015,13499.0,27364.0
2015Q1,00570  Kulosaari (Helsinki),"Blocks of flats, one-room flat",,5.0,00570,2015,3824.0,47241.0
2015Q1,00570  Kulosaari (Helsinki),"Blocks of flats, two-room flat",,4.0,00570,2015,3824.0,47241.0
2015Q1,00570  Kulosaari (Helsinki),"Blocks of flats, three-room flat+",,5.0,00570,2015,3824.0,47241.0
2015Q1,00570  Kulosaari (Helsinki),Terraced houses total,,,00570,2015,3824.0,47241.0
2015Q1,00580  Kalasatama - Kyl�saari (Helsinki),"Blocks of flats, one-room flat",,2.0,00580,2015,2930.0,24493.0
2015Q1,00580  Kalasatama - Kyl�saari (Helsinki),"Blocks of flats, two-room flat",,2.0,00580,2015,2930.0,24493.0
2015Q1,00580  Kalasatama - Kyl�saari (Helsinki),"Blocks of flats, three-room flat+",,3.0,00580,2015,2930.0,24493.0
2015Q1,00580  Kalasatama - Kyl�saari (Helsinki),Terraced houses total,,,00580,2015,2930.0,24493.0
2015Q1,00590  Kruunuvuorenranta (Helsinki),"Blocks of flats, one-room flat",,,00590,2015,380.0,41880.0
2015Q1,00590  Kruunuvuorenranta (Helsinki),"Blocks of flats, two-room flat",,,00590,2015,380.0,41880.0
2015Q1,00590  Kruunuvuorenranta (Helsinki),"Blocks of flats, three-room flat+",,,00590,2015,380.0,41880.0
2015Q1,00590  Kruunuvuorenranta (Helsinki),Terraced houses total,,,00590,2015,380.0,41880.0
2015Q1,00600  Koskela (Helsinki),"Blocks of flats, one-room flat",,,00600,2015,4120.0,22008.0
2015Q1,00600  Koskela (Helsinki),"Blocks of flats, two-room flat",2629.0,8.0,00600,2015,4120.0,22008.0
2015Q1,00600  Koskela (Helsinki),"Blocks of flats, three-room flat+",,5.0,00600,2015,4120.0,22008.0
2015Q1,00600  Koskela (Helsinki),Terraced houses total,,,00600,2015,4120.0,22008.0
2015Q1,00610  K�pyl� (Helsinki),"Blocks of flats, one-room flat",5028.0,8.0,00610,2015,8219.0,25520.0
2015Q1,00610  K�pyl� (Helsinki),"Blocks of flats, two-room flat",5015.0,10.0,00610,2015,8219.0,25520.0
2015Q1,00610  K�pyl� (Helsinki),"Blocks of flats, three-room flat+",4085.0,14.0,00610,2015,8219.0,25520.0
2015Q1,00610  K�pyl� (Helsinki),Terraced houses total,,,00610,2015,8219.0,25520.0
2015Q1,00620  Mets�l� - Etel�-Oulunkyl� (Helsinki),"Blocks of flats, one-room flat",,,00620,2015,3226.0,28547.0
2015Q1,00620  Mets�l� - Etel�-Oulunkyl� (Helsinki),"Blocks of flats, two-room flat",,4.0,00620,2015,3226.0,28547.0
